ID,confidence,logC,T,G
76,50,3.9124150854,8,0
77,90,4.5008192615,1,1
77,75,4.3180008026,2,1
77,85,4.4433862804,3,1
77,85,4.4433862804,4,1
77,85,4.4433862804,5,1
77,80,4.3826216957,6,1
77,60,4.0947509837,7,1
77,75,4.3180008026,8,1
78,75,4.3180008026,1,0
78,82,4.4073608899,2,0
78,65,4.174814529,3,0
78,75,4.3180008026,4,0
78,85,4.4433862804,5,0
78,85,4.4433862804,6,0
78,50,3.9124150854,7,0
78,50,3.9124150854,8,0
79,0,-4.615120517,1,0
79,0,-4.615120517,2,0
79,25,3.2194020022,3,0
79,20,2.9963493671,4,0
79,20,2.9963493671,5,0
79,0,-4.615120517,6,0
79,50,3.9124150854,7,0
79,0,-4.615120517,8,0
80,60,4.0947509837,1,1
80,60,4.0947509837,2,1
80,50,3.9124150854,3,1
80,65,4.174814529,4,1
80,80,4.3826216957,5,1
80,60,4.0947509837,6,1
80,75,4.3180008026,7,1
80,70,4.2489559654,8,1
81,75,4.3180008026,1,1
81,75,4.3180008026,2,1
81,67,4.2051315046,3,1
81,65,4.174814529,4,1
81,75,4.3180008026,5,1
81,70,4.2489559654,6,1
81,60,4.0947509837,7,1
81,65,4.174814529,8,1
82,0,-4.615120517,1,0
82,0,-4.615120517,2,0
82,10,2.3036833907,3,0
82,0,-4.615120517,4,0
82,0,-4.615120517,5,0
82,0,-4.615120517,6,0
82,0,-4.615120517,7,0
82,0,-4.615120517,8,0
83,70,4.2489559654,1,1
83,70,4.2489559654,2,1
83,75,4.3180008026,3,1
83,50,3.9124150854,4,1
83,50,3.9124150854,5,1
83,50,3.9124150854,6,1
83,70,4.2489559654,7,1
83,55,4.0077283641,8,1
84,0,-4.615120517,1,1
84,5,1.6115190786,2,1
84,0,-4.615120517,3,1
84,20,2.9963493671,4,1
84,0,-4.615120517,5,1
84,0,-4.615120517,6,1
84,10,2.3036833907,7,1
84,10,2.3036833907,8,1
85,0,-4.615120517,1,1
85,25,3.2194020022,2,1
85,30,3.4016667551,3,1
85,25,3.2194020022,4,1
85,10,2.3036833907,5,1
85,10,2.3036833907,6,1
85,45,3.8070592365,7,1
85,10,2.3036833907,8,1
86,50,3.9124150854,1,1
86,40,3.6892892062,2,1
86,50,3.9124150854,3,1
86,50,3.9124150854,4,1
86,50,3.9124150854,5,1
86,50,3.9124150854,6,1
86,75,4.3180008026,7,1
86,25,3.2194020022,8,1
87,50,3.9124150854,1,0
87,20,2.9963493671,2,0
87,0,-4.615120517,3,0
87,50,3.9124150854,4,0
87,25,3.2194020022,5,0
87,50,3.9124150854,6,0
87,0,-4.615120517,7,0
87,40,3.6892892062,8,0
88,25,3.2194020022,1,1
88,50,3.9124150854,2,1
88,70,4.2489559654,3,1
88,65,4.174814529,4,1
88,55,4.0077283641,5,1
88,75,4.3180008026,6,1
88,80,4.3826216957,7,1
88,50,3.9124150854,8,1
89,1,0.0099503309,1,1
89,0,-4.615120517,2,1
89,0,-4.615120517,3,1
89,1,0.0099503309,4,1
89,2,0.6981849746,5,1
89,2,0.6981849746,6,1
89,10,2.3036833907,7,1
89,0,-4.615120517,8,1
90,50,3.9124150854,1,1
90,20,2.9963493671,2,1
90,50,3.9124150854,3,1
90,50,3.9124150854,4,1
90,25,3.2194020022,5,1
90,65,4.174814529,6,1
90,65,4.174814529,7,1
90,10,2.3036833907,8,1
