_Imputation_,ID,CONFIDENCE1,CONFIDENCE2,CONFIDENCE3,CONFIDENCE4,CONFIDENCE5,CONFIDENCE6,CONFIDENCE7,CONFIDENCE8,GENDER,logC1,logC2,logC3,logC4,logC5,logC6,logC7,logC8
1,1003,0,,1,0,0,,,,1,-4.615120517,-3.5578649,0.0099503309,-4.615120517,-4.615120517,-4.17735101,-4.46600888,-2.637731108
1,1024,0,,,,,,0,,1,-4.615120517,-5.470585102,-2.002754388,-2.860784457,-1.383758851,-3.086749595,-4.615120517,0.3337543259
1,1025,0,0,0,0,60,20,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,4.0947509837,2.9963493671,-1.251903359,-3.880078988
1,1072,0,,,,,,,,0,-4.615120517,-0.781268349,-4.866190073,-2.412195866,-3.261724518,-0.911632642,-0.784048041,0.2558333775
1,1085,0,0,25,20,20,0,50,0,0,-4.615120517,-4.615120517,3.2194020022,2.9963493671,2.9963493671,-4.615120517,3.9124150854,-4.615120517
1,1097,0,0,0,0,,0,0,0,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-13.84159927,-4.615120517,-4.615120517,-4.615120517
1,1159,0,0,,,,,,,0,-4.615120517,-4.615120517,-3.285760678,-1.66802307,-6.671172995,-2.015412054,-4.048000669,-4.774232193
1,1169,0,0,10,0,0,0,0,0,0,-4.615120517,-4.615120517,2.3036833907,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517
1,1183,0,,,,,0,40,,1,-4.615120517,-1.434404417,3.116533716,-0.564210794,-1.858478827,-4.615120517,3.6892892062,-1.889572188
1,1270,0,0,,0,0,,,,0,-4.615120517,-4.615120517,-2.289495936,-4.615120517,-4.615120517,-4.578493591,-2.059663113,-0.476985103
1,1404,0,5,0,20,0,0,10,10,1,-4.615120517,1.6115190786,-4.615120517,2.9963493671,-4.615120517,-4.615120517,2.3036833907,2.3036833907
1,1407,0,25,30,25,10,10,45,10,1,-4.615120517,3.2194020022,3.4016667551,3.2194020022,2.3036833907,2.3036833907,3.8070592365,2.3036833907
1,1551,0,0,0,0,0,,,,1,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.932160986,0.7368811157,-0.126556102
1,1681,0,50,50,5,,,,,0,-4.615120517,3.9124150854,3.9124150854,1.6115190786,-2.878639863,2.52744165,3.5833969469,2.4572450202
1,1722,0,0,0,0,0,0,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.148269977,-7.306652507
1,1748,0,,,,,,,,0,-4.615120517,3.3003214417,3.5974220083,-0.537743888,0.3551723529,3.9339113794,1.8887321622,-1.345804304
1,1811,0,50,0,0,20,2,,,0,-4.615120517,3.9124150854,-4.615120517,-4.615120517,2.9963493671,0.6981849746,-0.560804394,-4.088689035
1,135,1,0,0,1,2,2,10,0,1,0.0099503309,-4.615120517,-4.615120517,0.0099503309,0.6981849746,0.6981849746,2.3036833907,-4.615120517
1,968,1,2,,,,,,,0,0.0099503309,0.6981849746,0.6957048323,-1.069196824,-3.374752176,0.8477427357,-0.169111447,0.5744057908
1,15,2,30,20,,,80,,,0,0.6981849746,3.4016667551,2.9963493671,5.5157636741,-0.253156626,4.3826216957,7.4382298237,4.6173913821
1,312,2,20,15,35,1,1,2,20,0,0.6981849746,2.9963493671,2.7088250946,3.5557808682,0.0099503309,0.0099503309,0.6981849746,2.9963493671
1,899,2,20,6,12,2,,,,0,0.6981849746,2.9963493671,1.7935123181,2.4858425413,0.6981849746,-1.80779087,3.1846545729,-2.260896645
1,1643,2,,2,2,0,20,5,,0,0.6981849746,5.2703904449,0.6981849746,0.6981849746,-4.615120517,2.9963493671,1.6115190786,5.3911194939
1,129,3,,,,,,,,0,1.1020078777,2.2658130952,1.5602902235,-2.195456637,-0.326737666,-0.276888995,2.5217882723,4.508967202
1,468,4,50,50,50,20,20,50,30,1,1.3888683651,3.9124150854,3.9124150854,3.9124150854,2.9963493671,2.9963493671,3.9124150854,3.4016667551
1,120,5,,,,5,50,,5,0,1.6115190786,0.1024305251,1.689016628,-2.627424989,1.6115190786,3.9124150854,1.1500383827,1.6115190786
1,340,5,5,75,20,10,20,10,25,1,1.6115190786,1.6115190786,4.3180008026,2.9963493671,2.3036833907,2.9963493671,2.3036833907,3.2194020022
1,499,5,0,10,20,,,30,,0,1.6115190786,-4.615120517,2.3036833907,2.9963493671,1.5880788559,-3.864115439,3.4016667551,-1.30811587
1,520,5,50,50,0,50,,40,,1,1.6115190786,3.9124150854,3.9124150854,-4.615120517,3.9124150854,0.5789872731,3.6892892062,4.4752842131
1,670,5,,,,,0,,,0,1.6115190786,-2.363666358,-0.468946022,-0.244662634,-1.281599077,-4.615120517,-0.466508954,-3.82522285
1,686,5,60,0,0,0,30,10,10,0,1.6115190786,4.0947509837,-4.615120517,-4.615120517,-4.615120517,3.4016667551,2.3036833907,2.3036833907
1,752,5,5,20,,,20,,,0,1.6115190786,1.6115190786,2.9963493671,5.4906581624,-0.198614364,2.9963493671,0.5844548889,-2.621166448
1,866,5,,,,,,,,0,1.6115190786,-3.767596195,-1.060423493,-1.034722115,-1.338536083,1.1831854116,-0.75919218,-1.969680472
1,1014,5,0,50,20,30,25,25,50,0,1.6115190786,-4.615120517,3.9124150854,2.9963493671,3.4016667551,3.2194020022,3.2194020022,3.9124150854
1,157,10,0,50,5,10,0,,,0,2.3036833907,-4.615120517,3.9124150854,1.6115190786,2.3036833907,-4.615120517,0.5995342054,-2.192815612
1,300,10,40,20,10,0,40,20,5,1,2.3036833907,3.6892892062,2.9963493671,2.3036833907,-4.615120517,3.6892892062,2.9963493671,1.6115190786
1,330,10,50,50,,,40,35,,0,2.3036833907,3.9124150854,3.9124150854,4.1233605375,6.6217980679,3.6892892062,3.5557808682,4.2609716974
1,427,10,5,2,,,,,,0,2.3036833907,1.6115190786,0.6981849746,3.780874799,3.1433455495,1.8570054338,5.5818692877,-0.300921257
1,435,10,0,,,,,,,1,2.3036833907,-4.615120517,3.5354869785,3.3025898441,0.2480060828,-1.76016915,-0.641408192,-1.167679324
1,466,10,10,3,,,,,,1,2.3036833907,2.3036833907,1.1020078777,1.8241399074,-0.712091892,1.8011941391,3.3162582386,8.7874033041
1,477,10,75,10,50,0,10,30,,1,2.3036833907,4.3180008026,2.3036833907,3.9124150854,-4.615120517,2.3036833907,3.4016667551,1.7231971838
1,553,10,20,0,0,0,1,10,0,0,2.3036833907,2.9963493671,-4.615120517,-4.615120517,-4.615120517,0.0099503309,2.3036833907,-4.615120517
1,567,10,,0,,,,,,0,2.3036833907,-1.323373248,-4.615120517,2.3840818307,-5.768468092,-1.33516991,3.3432933991,0.0655418798
1,741,10,25,10,10,10,10,33,,1,2.3036833907,3.2194020022,2.3036833907,2.3036833907,2.3036833907,2.3036833907,3.496953095,3.1858479577
1,768,10,0,25,,,0,,,0,2.3036833907,-4.615120517,3.2194020022,-0.517994174,6.6452632631,-4.615120517,-1.354471322,-4.528257814
1,801,10,,,,22,55,,,1,2.3036833907,3.274017269,6.1045863451,3.3290391242,3.0916176619,4.0077283641,-0.480614852,0.0037706204
1,813,10,,,,,80,,,0,2.3036833907,3.793929026,1.999059276,1.5919422603,4.4363578453,4.3826216957,4.2877914282,2.0169146699
1,832,10,60,40,60,70,85,50,60,0,2.3036833907,4.0947509837,3.6892892062,4.0947509837,4.2489559654,4.4433862804,3.9124150854,4.0947509837
1,849,10,,,,,,,,0,2.3036833907,1.638339326,5.6384380557,1.2309312688,4.4221781748,0.1704838752,2.8060377502,0.719046684
1,932,10,,0,30,12,,,,0,2.3036833907,-2.812931987,-4.615120517,3.4016667551,2.4858425413,-1.950141793,-4.212756803,-2.988652006
1,1070,10,40,,50,,,,,0,2.3036833907,3.6892892062,1.8417442695,3.9124150854,-1.679858081,2.5470988348,6.3062992641,3.9553356998
1,1813,10,,10,,,55,,,1,2.3036833907,4.0978862243,2.3036833907,5.1378481083,2.6672498749,4.0077283641,2.0134140746,4.0845914967
1,641,12,10,10,25,2,60,0,5,0,2.4858425413,2.3036833907,2.3036833907,3.2194020022,0.6981849746,4.0947509837,-4.615120517,1.6115190786
1,618,15,5,10,5,15,2,5,10,0,2.7088250946,1.6115190786,2.3036833907,1.6115190786,2.7088250946,0.6981849746,1.6115190786,2.3036833907
